,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending,dependent_project_count,github_dependent_project_count
23,AIS-Square,deepmodeling/AIS-Square,,,,,https://github.com/deepmodeling/AIS-Square,https://github.com/deepmodeling/AIS-Square,LGPL-3.0,2022-09-13 09:52:30,2026-04-03 02:52:43.000000,2026-04-03 02:52:42,1280,22.0,8.0,7.0,211.0,5.0,1.0,15,,,,,,,8,,,,,,,,,,,,8,True,others,3,,,
24,Blog,deepmodeling/blog,,,,,https://github.com/deepmodeling/blog,https://github.com/deepmodeling/blog,LGPL-3.0,2021-06-10 23:11:55,2026-02-04 02:53:54.000000,2026-02-04 02:53:53,389,6.0,10.0,5.0,342.0,,,3,,,,,,DeepModeling Blog.,11,,,,,,,,,,,,8,True,others,3,,,
25,community,deepmodeling/community,,,,,https://github.com/deepmodeling/community,https://github.com/deepmodeling/community,,2021-05-06 04:50:02,2025-12-25 02:14:41.000000,2025-12-25 02:14:41,179,,24.0,9.0,56.0,,2.0,93,,,,,,DeepModeling community content.,20,,,,,,,,,,,,7,True,others,3,,,
26,Uni-Fold,deepmodeling/Uni-Fold,,,,dptechnology/unifold,https://github.com/deepmodeling/Uni-Fold,https://github.com/deepmodeling/Uni-Fold,Apache-2.0,2021-12-07 14:40:37,2024-04-11 02:15:21.000000,2022-08-18 15:27:32,29,,19.0,4.0,2.0,,1.0,93,,,,27.0,,,3,,,,,,,,https://hub.docker.com/r/dptechnology/unifold,2024-01-08 06:24:09.367953,,1451.0,7,True,others,3,,,
27,tbplas,deepmodeling/tbplas,,,,,https://github.com/deepmodeling/tbplas,https://github.com/deepmodeling/tbplas,,2024-02-29 03:21:24,2024-04-11 02:16:51.000000,2024-01-17 13:25:05,662,,6.0,8.0,2.0,3.0,,17,2024-03-01 09:33:35,1.6,,,1.0,Repository of TBPLaS (tight-binding package for large-scale simulation).,10,,,,,,,,,,,,6,True,others,3,,,
28,tutorials,deepmodeling/tutorials,,,,,https://github.com/deepmodeling/tutorials,https://github.com/deepmodeling/tutorials,,2022-03-07 06:19:19,2026-03-11 03:01:34.000000,2026-03-11 02:48:33,147,1.0,24.0,4.0,72.0,1.0,3.0,16,,,,,,Tutorials for DeepModeling projects.,12,,,,,,,,,,,,6,True,others,3,,,
29,docs,deepmodeling/docs,,,,,https://github.com/deepmodeling/docs,https://github.com/deepmodeling/docs,LGPL-3.0,2021-07-05 00:32:29,2024-10-28 21:42:38.000000,2024-10-28 21:42:38,28,,7.0,4.0,24.0,,,3,,,,,,The home page of DeepModeling documentation.,8,,,,,,,,,,,,6,True,others,3,,,
30,AI4Science101,deepmodeling/AI4Science101,,,,,https://github.com/deepmodeling/AI4Science101,https://github.com/deepmodeling/AI4Science101,,2022-06-19 02:26:48,2024-04-11 02:15:55.000000,2022-09-04 02:06:18,139,,16.0,8.0,29.0,,1.0,100,,,,,,AI for Science.,5,,,,,,,,,,,,5,True,others,3,,,
31,ADMP,deepmodeling/ADMP,,,,,https://github.com/deepmodeling/ADMP,https://github.com/deepmodeling/ADMP,,2021-12-26 07:22:47,2024-04-11 02:15:25.000000,2022-02-15 02:13:59,120,,3.0,,6.0,,,3,,,,,,Automatic Differentiation Multipole Moment Molecular Forcefield.,7,,,,,,,,,,,,5,True,others,3,,,
32,DeepH-pack,deepmodeling/DeepH-pack,,,,,https://github.com/deepmodeling/DeepH-pack,https://github.com/deepmodeling/DeepH-pack,LGPL-3.0,2022-07-19 08:07:24,2024-04-11 02:16:01.000000,2023-12-28 12:48:09,56,,6.0,1.0,2.0,4.0,2.0,14,,,,,,Deep neural networks for density functional theory Hamiltonian.,6,,,,,,,,,,,,4,True,others,3,,,
33,DeePDih,deepmodeling/DeePDih,,,,,https://github.com/deepmodeling/DeePDih,https://github.com/deepmodeling/DeePDih,MIT,2024-03-03 13:22:19,2026-04-07 09:18:59.000000,2026-04-07 09:18:53,65,2.0,3.0,2.0,,,,6,2024-12-21 09:53:32,dpa-2-gfn2-xtb-tblite,7.0,0.0,1.0,Deep Potential driven molecular dihedral scan toolkit.,2,,,,,,,,,,,,4,True,others,3,-1.0,,
34,tutorials-cn,deepmodeling/tutorials-cn,,,,,https://github.com/deepmodeling/tutorials-cn,https://github.com/deepmodeling/tutorials-cn,LGPL-2.1,2022-03-30 07:39:32,2024-04-11 02:15:41.000000,2022-12-29 11:58:55,9,,8.0,4.0,14.0,,,6,,,,,,,4,,,,,,,,,,,,4,True,others,3,,,
35,LibRI,deepmodeling/LibRI,,,,,https://github.com/deepmodeling/LibRI,https://github.com/deepmodeling/LibRI,GPL-3.0,2023-04-19 02:10:20,2025-02-18 05:21:27.000000,2025-01-10 16:30:29,127,,1.0,1.0,1.0,2.0,1.0,6,,,,,,,3,,,,,,,,,,,,2,True,others,3,,,
36,openfinite,deepmodeling/openfinite,,,,,https://github.com/deepmodeling/openfinite,https://github.com/deepmodeling/openfinite,LGPL-3.0,2021-10-10 08:56:48,2024-04-11 02:15:14.000000,2021-10-06 08:13:39,13,,2.0,,1.0,,,1,,,,,,,2,,,,,,,,,,,,1,True,others,3,,,
37,dflow-op-cutter,deepmodeling/dflow-op-cutter,,,,,https://github.com/deepmodeling/dflow-op-cutter,https://github.com/deepmodeling/dflow-op-cutter,,2022-06-24 01:31:42,2024-04-11 02:15:58.000000,2022-07-06 09:54:08,4,,2.0,3.0,1.0,,1.0,1,,,,,,,2,,,,,,,,,,,,-1,True,others,3,,,
